,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPGSV,3,1,11,22,67,165,29,19,67,336,31,17,63,053,30,06,60,243,34*7A",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,19,03,34,059,30,11,23,233,16,24,17,287,13*72",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,12,03,318,,02,03,055,,47,,,*71",,,,,,,,,,,,,,
,,,,,"$GPRMC,185646.000,A,3950.9313,N,07531.0769,W,0.29,103.58,070424,,,A*7A",39.848855,-75.517948,"39.848855,-75.51794833",,,,,,,,,,,
,,,,,"$GPGGA,185647.000,3950.9312,N,07531.0769,W,1,08,1.11,116.7,M,-33.8,M,,*54",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185647.000,A,3950.9312,N,07531.0769,W,0.23,103.58,070424,,,A*70",39.848853,-75.517948,"39.84885333,-75.51794833",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,29,19,67,336,31,17,63,053,30,06,60,243,34*7A",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,19,03,34,059,30,11,23,233,16,24,17,287,13*72",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,12,03,318,,02,03,055,,47,,,*71",,,,,,,,,,,,,,
,,,,,"$GPRMC,185646.000,A,3950.9313,N,07531.0769,W,0.29,103.58,070424,,,A*7A",39.848855,-75.517948,"39.848855,-75.51794833",,,,,,,,,,,
,,,,,"$GPGGA,185647.000,3950.9312,N,07531.0769,W,1,08,1.11,116.7,M,-33.8,M,,*54",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185647.000,A,3950.9312,N,07531.0769,W,0.23,103.58,070424,,,A*70",39.848853,-75.517948,"39.84885333,-75.51794833",,,,,,,,,,,
,,,,,"$GPGGA,185648.000,3950.9311,N,07531.0769,W,1,08,1.11,116.7,M,-33.8,M,,*58",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
