,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPGSV,3,2,11,14,41,156,40,03,33,058,38,44,27,234,,11,23,234,21*7C",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,14,12,04,318,,02,02,055,*4C",,,,,,,,,,,,,,
,,,,,"$GPRMC,185836.000,A,3951.1514,N,07530.6532,W,22.15,74.53,070424,,,A*75",39.852523,-75.510887,"39.85252333,-75.51088667",,,,,,,,,,,
,,,,,"$GPGGA,185837.000,3951.1535,N,07530.6454,W,1,08,1.11,159.2,M,-33.9,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185837.000,A,3951.1535,N,07530.6454,W,22.60,65.22,070424,,,A*72",39.852558,-75.510757,"39.85255833,-75.51075667",,,,,,,,,,,
,,,,,"$GPRMC,185837.000,A,3951.1535,N,07530.6454,W,22.60,65.22,070424,,,A*72",39.852558,-75.510757,"39.85255833,-75.51075667",,,,,,,,,,,
,,,,,"$GPGGA,185838.000,3951.1565,N,07530.6378,W,1,08,1.11,159.7,M,-33.9,M,,*54",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185838.000,A,3951.1565,N,07530.6378,W,23.06,59.04,070424,,,A*7B",39.852608,-75.510630,"39.85260833,-75.51063",,,,,,,,,,,
,,,,,"$GPGGA,185839.000,3951.1601,N,07530.6309,W,1,08,1.11,160.1,M,-33.9,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185839.000,A,3951.1601,N,07530.6309,W,23.10,56.15,070424,,,A*75",39.852668,-75.510515,"39.85266833,-75.510515",,,,,,,,,,,
,,,,,"$GPGGA,185840.000,3951.1640,N,07530.6239,W,1,08,1.11,160.5,M,-33.9,M,,*53",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185840.000,A,3951.1640,N,07530.6239,W,23.48,53.28,070424,,,A*7A",39.852733,-75.510398,"39.85273333,-75.51039833",,,,,,,,,,,
,,,,,"$GPGGA,185841.000,3951.1677,N,07530.6169,W,1,08,1.11,160.9,M,-33.9,M,,*5C",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,166,39,19,67,338,33,17,63,054,30,06,61,245,30*70",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,31,03,33,058,35,44,27,234,25,11,23,234,21*70",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,13,12,04,318,,02,02,055,20*49",,,,,,,,,,,,,,
,,,,,"$GPRMC,185841.000,A,3951.1677,N,07530.6169,W,23.27,54.68,070424,,,A*73",39.852795,-75.510282,"39.852795,-75.51028167",,,,,,,,,,,
,,,,,"$GPGGA,185842.000,3951.1711,N,07530.6098,W,1,08,1.11,161.2,M,-33.9,M,,*5B",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185842.000,A,3951.1711,N,07530.6098,W,22.45,57.60,070424,,,A*70",39.852852,-75.510163,"39.85285167,-75.51016333",,,,,,,,,,,
,,,,,"$GPGGA,185843.000,3951.1741,N,07530.6028,W,1,08,1.10,161.4,M,-33.9,M,,*53",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185844.000,A,3951.1768,N,07530.5963,W,19.41,62.67,070424,,,A*7B",39.852947,-75.509938,"39.85294667,-75.50993833",,,,,,,,,,,
,,,,,"$GPGGA,185845.000,3951.1790,N,07530.5909,W,1,08,1.10,162.2,M,-33.9,M,,*55",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185845.000,A,3951.1790,N,07530.5909,W,16.56,64.36,070424,,,A*7A",39.852983,-75.509848,"39.85298333,-75.50984833",,,,,,,,,,,
,,,,,"$GPGGA,185846.000,3951.1804,N,07530.5866,W,1,08,1.11,162.5,M,-33.9,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,166,39,19,67,338,24,17,63,054,30,06,61,245,29*7E",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,30,03,33,058,35,44,27,234,25,11,24,234,19*7D",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,13,12,04,318,,02,02,055,16*4C",,,,,,,,,,,,,,
,,,,,"$GPRMC,185846.000,A,3951.1804,N,07530.5866,W,11.90,67.75,070424,,,A*7A",39.853007,-75.509777,"39.85300667,-75.50977667",,,,,,,,,,,
,,,,,"$GPGGA,185847.000,3951.1814,N,07530.5837,W,1,08,1.11,162.8,M,-33.9,M,,*53",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185847.000,A,3951.1814,N,07530.5837,W,8.47,73.06,070424,,,A*4D",39.853023,-75.509728,"39.85302333,-75.50972833",,,,,,,,,,,
,,,,,"$GPGGA,185848.000,3951.1820,N,07530.5820,W,1,08,1.10,163.1,M,-33.9,M,,*54",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185848.000,A,3951.1820,N,07530.5820,W,5.87,74.48,070424,,,A*4F",39.853033,-75.509700,"39.85303333,-75.5097",,,,,,,,,,,
,,,,,"$GPGGA,185849.000,3951.1832,N,07530.5811,W,1,07,1.35,163.4,M,-33.9,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.62,1.35,0.90*07",,,,,,,,,,,,,,
,,,,,"$GPRMC,185849.000,A,3951.1832,N,07530.5811,W,7.25,43.00,070424,,,A*4D",39.853053,-75.509685,"39.85305333,-75.509685",,,,,,,,,,,
,,,,,"$GPGGA,185850.000,3951.1850,N,07530.5809,W,1,07,1.35,163.0,M,-33.9,M,,*58",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,1.62,1.35,0.90*07",,,,,,,,,,,,,,
,,,,,"$GPRMC,185850.000,A,3951.1850,N,07530.5809,W,8.66,31.87,070424,,,A*4A",39.853083,-75.509682,"39.85308333,-75.50968167",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,2.45,1.37,2.03*0B",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,166,28,19,67,338,25,17,62,055,44,06,61,245,31*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,29,03,33,058,34,44,27,234,26,11,24,234,20*7D",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,,12,04,318,,02,02,055,20*4B",,,,,,,,,,,,,,
,,,,,"$GPRMC,185851.000,A,3951.1881,N,07530.5807,W,10.94,359.17,070424,,,A*49",39.853135,-75.509678,"39.853135,-75.50967833",,,,,,,,,,,
,,,,,"$GPGGA,185852.000,3951.1924,N,07530.5828,W,1,07,1.37,164.0,M,-33.9,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,22,17,19,,,,,,2.45,1.37,2.03*0B",,,,,,,,,,,,,,
,,,,,"$GPRMC,185852.000,A,3951.1924,N,07530.5828,W,15.36,335.45,070424,,,A*49",39.853207,-75.509713,"39.85320667,-75.50971333",,,,,,,,,,,
,,,,,"$GPGGA,185853.000,3951.1973,N,07530.5872,W,1,08,1.10,164.5,M,-33.9,M,,*5D",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185853.000,A,3951.1973,N,07530.5872,W,20.39,325.76,070424,,,A*4D",39.853288,-75.509787,"39.85328833,-75.50978667",,,,,,,,,,,
,,,,,"$GPGGA,185854.000,3951.2028,N,07530.5926,W,1,08,1.14,165.0,M,-33.9,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,2.03,1.14,1.67*0F",,,,,,,,,,,,,,
,,,,,"$GPRMC,185854.000,A,3951.2028,N,07530.5926,W,24.13,324.85,070424,,,A*4F",39.853380,-75.509877,"39.85338,-75.50987667",,,,,,,,,,,
,,,,,"$GPGGA,185855.000,3951.2089,N,07530.5981,W,1,08,1.10,165.6,M,-33.9,M,,*5B",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185855.000,A,3951.2089,N,07530.5981,W,25.93,327.03,070424,,,A*4C",39.853482,-75.509968,"39.85348167,-75.50996833",,,,,,,,,,,
,,,,,"$GPGGA,185856.000,3951.2154,N,07530.6036,W,1,08,1.10,166.2,M,-33.9,M,,*58",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,338,38,22,66,166,29,17,62,055,41,06,61,245,36*7B",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,34,03,33,058,21,44,27,234,25,11,24,234,23*75",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,24,12,04,318,,02,02,055,16*48",,,,,,,,,,,,,,
,,,,,"$GPRMC,185856.000,A,3951.2154,N,07530.6036,W,27.27,327.63,070424,,,A*43",39.853590,-75.510060,"39.85359,-75.51006",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185857.000,A,3951.2219,N,07530.6094,W,27.78,325.99,070424,,,A*4D",39.853698,-75.510157,"39.85369833,-75.51015667",,,,,,,,,,,
,,,,,"$GPGGA,185858.000,3951.2285,N,07530.6150,W,1,08,1.10,167.2,M,-33.9,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185858.000,A,3951.2285,N,07530.6150,W,27.18,326.49,070424,,,A*46",39.853808,-75.510250,"39.85380833,-75.51025",,,,,,,,,,,
,,,,,"$GPGGA,185859.000,3951.2349,N,07530.6203,W,1,08,1.10,167.7,M,-33.9,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185859.000,A,3951.2349,N,07530.6203,W,26.33,328.41,070424,,,A*4D",39.853915,-75.510338,"39.853915,-75.51033833",,,,,,,,,,,
,,,,,"$GPGGA,185900.000,3951.2414,N,07530.6250,W,1,08,1.10,168.1,M,-33.9,M,,*54",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185900.000,A,3951.2414,N,07530.6250,W,25.87,332.81,070424,,,A*42",39.854023,-75.510417,"39.85402333,-75.51041667",,,,,,,,,,,
,,,,,"$GPGGA,185901.000,3951.2487,N,07530.6278,W,1,08,1.10,167.8,M,-33.9,M,,*53",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,338,37,22,66,166,31,17,62,055,44,06,61,245,37*79",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,24,03,33,058,39,44,27,234,26,11,24,234,24*79",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,20,12,04,318,,02,02,055,13*49",,,,,,,,,,,,,,
,,,,,"$GPRMC,185901.000,A,3951.2487,N,07530.6278,W,26.63,346.81,070424,,,A*49",39.854145,-75.510463,"39.854145,-75.51046333",,,,,,,,,,,
,,,,,"$GPGGA,185902.000,3951.2561,N,07530.6292,W,1,08,1.11,168.1,M,-33.9,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185902.000,A,3951.2561,N,07530.6292,W,26.18,356.18,070424,,,A*4A",39.854268,-75.510487,"39.85426833,-75.51048667",,,,,,,,,,,
,,,,,"$GPGGA,185903.000,3951.2639,N,07530.6292,W,1,08,1.10,168.5,M,-33.9,M,,*50",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185903.000,A,3951.2639,N,07530.6292,W,28.91,2.95,070424,,,A*4D",39.854398,-75.510487,"39.85439833,-75.51048667",,,,,,,,,,,
,,,,,"$GPGGA,185906.000,3951.2888,N,07530.6268,W,1,08,1.10,170.2,M,-33.9,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,338,25,22,66,166,25,17,62,055,42,06,61,245,30*7E",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,24,03,33,058,28,44,27,234,25,11,24,234,21*7F",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,18,12,04,318,,02,02,055,15*44",,,,,,,,,,,,,,
,,,,,"$GPRMC,185906.000,A,3951.2888,N,07530.6268,W,30.15,3.04,070424,,,A*45",39.854813,-75.510447,"39.85481333,-75.51044667",,,,,,,,,,,
,,,,,"$GPGGA,185907.000,3951.2974,N,07530.6263,W,1,08,1.10,170.8,M,-33.9,M,,*58",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185907.000,A,3951.2974,N,07530.6263,W,30.43,2.37,070424,,,A*4F",39.854957,-75.510438,"39.85495667,-75.51043833",,,,,,,,,,,
,,,,,"$GPGGA,185908.000,3951.3059,N,07530.6258,W,1,08,1.10,171.3,M,-33.9,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185908.000,A,3951.3059,N,07530.6258,W,31.00,1.77,070424,,,A*4E",39.855098,-75.510430,"39.85509833,-75.51043",,,,,,,,,,,
,,,,,"$GPGGA,185909.000,3951.3143,N,07530.6260,W,1,08,1.10,172.0,M,-33.9,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185909.000,A,3951.3143,N,07530.6260,W,29.12,358.84,070424,,,A*47",39.855238,-75.510433,"39.85523833,-75.51043333",,,,,,,,,,,
,,,,,"$GPGGA,185910.000,3951.3225,N,07530.6266,W,1,08,1.10,172.6,M,-33.9,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185910.000,A,3951.3225,N,07530.6266,W,27.52,355.29,070424,,,A*4A",39.855375,-75.510443,"39.855375,-75.51044333",,,,,,,,,,,
,,,,,"$GPGGA,185911.000,3951.3299,N,07530.6277,W,1,08,1.10,172.9,M,-33.9,M,,*50",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,338,29,22,66,166,31,17,62,055,42,06,61,245,40*70",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,31,03,33,058",,,,,,,,,,,,,,
,,,,,"$GPRMC,185912.000,A,3951.3364,N,07530.6304,W,23.51,336.80,070424,,,A*48",39.855607,-75.510507,"39.85560667,-75.51050667",,,,,,,,,,,
,,,,,"$GPGGA,185913.000,3951.3430,N,07530.6344,W,1,08,1.10,173.4,M,-33.9,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185913.000,A,3951.3430,N,07530.6344,W,24.37,333.61,070424,,,A*46",39.855717,-75.510573,"39.85571667,-75.51057333",,,,,,,,,,,
,,,,,"$GPGGA,185914.000,3951.3488,N,07530.6390,W,1,08,1.10,173.4,M,-33.9,M,,*57",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185914.000,A,3951.3488,N,07530.6390,W,24.87,328.18,070424,,,A*44",39.855813,-75.510650,"39.85581333,-75.51065",,,,,,,,,,,
,,,,,"$GPGGA,185915.000,3951.3547,N,07530.6445,W,1,08,1.10,173.5,M,-33.9,M,,*5A",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185915.000,A,3951.3547,N,07530.6445,W,26.01,324.17,070424,,,A*47",39.855912,-75.510742,"39.85591167,-75.51074167",,,,,,,,,,,
,,,,,"$GPGGA,185916.000,3951.3596,N,07530.6508,W,1,08,1.14,172.0,M,-33.9,M,,*5D",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,2.03,1.14,1.67*0F",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,338,42,22,66,166,34,06,62,245,36,17,62,055,38*77",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,30,03,33,058,21,44,27,234,27,11,24,234,31*70",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,27,12,04,318,15,02,02,055,14*4D",,,,,,,,,,,,,,
,,,,,"$GPRMC,185916.000,A,3951.3596,N,07530.6508,W,24.94,323.24,070424,,,A*49",39.855993,-75.510847,"39.85599333,-75.51084667",,,,,,,,,,,
,,,,,"$GPGGA,185917.000,3951.3649,N,07530.6561,W,1,08,1.10,171.7,M,-33.9,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185917.000,A,3951.3649,N,07530.6561,W,23.61,324.35,070424,,,A*4C",39.856082,-75.510935,"39.85608167,-75.510935",,,,,,,,,,,
,,,,,"$GPGGA,185918.000,3951.3695,N,07530.6606,W,1,08,1.10,171.6,M,-33.9,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185918.000,A,3951.3695,N,07530.6606,W,20.72,324.60,070424,,,A*41",39.856158,-75.511010,"39.85615833,-75.51101",,,,,,,,,,,
,,,,,"$GPRMC,185922.000,A,3951.3789,N,07530.6671,W,4.02,341.50,070424,,,A*75",39.856315,-75.511118,"39.856315,-75.51111833",,,,,,,,,,,
,,,,,"$GPGGA,185923.000,3951.3798,N,07530.6681,W,1,08,1.10,172.4,M,-33.9,M,,*55",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185923.000,A,3951.3798,N,07530.6681,W,4.75,321.37,070424,,,A*7C",39.856330,-75.511135,"39.85633,-75.511135",,,,,,,,,,,
,,,,,"$GPGGA,185924.000,3951.3819,N,07530.6701,W,1,08,1.10,172.7,M,-33.9,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185924.000,A,3951.3819,N,07530.6701,W,10.47,323.88,070424,,,A*46",39.856365,-75.511168,"39.856365,-75.51116833",,,,,,,,,,,
,,,,,"$GPGGA,185925.000,3951.3852,N,07530.6730,W,1,08,1.14,173.1,M,-33.9,M,,*51",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,2.02,1.14,1.67*0E",,,,,,,,,,,,,,
,,,,,"$GPRMC,185925.000,A,3951.3852,N,07530.6730,W,15.10,326.03,070424,,,A*4B",39.856420,-75.511217,"39.85642,-75.51121667",,,,,,,,,,,
,,,,,"$GPGGA,185926.000,3951.3893,N,07530.6765,W,1,08,1.10,173.5,M,-33.9,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,339,39,22,66,166,35,06,62,245,37,17,62,055,33*71",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,23,03,33,058,22,44,27,234,25,11,24,234,24*77",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,22,12,04,318,,02,02,055,16*4E",,,,,,,,,,,,,,
,,,,,"$GPRMC,185926.000,A,3951.3893,N,07530.6765,W,18.48,329.09,070424,,,A*40",39.856488,-75.511275,"39.85648833,-75.511275",,,,,,,,,,,
,,,,,"$GPGGA,185927.000,3951.3943,N,07530.6802,W,1,08,1.10,174.0,M,-33.9,M,,*5E",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185927.000,A,3951.3943,N,07530.6802,W,20.27,330.51,070424,,,A*44",39.856572,-75.511337,"39.85657167,-75.51133667",,,,,,,,,,,
,,,,,"$GPGGA,185928.000,3951.3998,N,07530.6840,W,1,08,1.10,174.5,M,-33.9,M,,*54",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185928.000,A,3951.3998,N,07530.6840,W,21.99,332.45,070424,,,A*48",39.856663,-75.511400,"39.85666333,-75.5114",,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,339,38,22,66,166,31,06,62,245,27,17,62,055,37*71",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,29,03,33,058,21,44,27,234,26,11,24,234,22*7B",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,19,12,04,318,,02,02,055,*41",,,,,,,,,,,,,,
,,,,,"$GPRMC,185941.000,A,3951.5002,N,07530.7555,W,30.68,330.27,070424,,,A*4B",39.858337,-75.512592,"39.85833667,-75.51259167",,,,,,,,,,,
,,,,,"$GPGGA,185942.000,3951.5071,N,07530.7608,W,1,08,1.10,178.9,M,-33.9,M,,*53",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185942.000,A,3951.5071,N,07530.7608,W,28.37,331.04,070424,,,A*44",39.858452,-75.512680,"39.85845167,-75.51268",,,,,,,,,,,
,,,,,"$GPGGA,185943.000,3951.5138,N,07530.7660,W,1,08,1.10,179.1,M,-33.9,M,,*59",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185943.000,A,3951.5138,N,07530.7660,W,26.86,329.92,070424,,,A*45",39.858563,-75.512767,"39.85856333,-75.51276667",,,,,,,,,,,
,,,,,"$GPGGA,185944.000,3951.5200,N,07530.7712,W,1,08,1.10,179.2,M,-33.9,M,,*51",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185944.000,A,3951.5200,N,07530.7712,W,26.13,330.00,070424,,,A*41",39.858667,-75.512853,"39.85866667,-75.51285333",,,,,,,,,,,
,,,,,"$GPGGA,185945.000,3951.5266,N,07530.7762,W,1,08,1.14,179.3,M,-33.9,M,,*52",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,2.02,1.14,1.67*0E",,,,,,,,,,,,,,
,,,,,"$GPRMC,185945.000,A,3951.5266,N,07530.7762,W,26.85,330.48,070424,,,A*44",39.858777,-75.512937,"39.85877667,-75.51293667",,,,,,,,,,,
,,,,,"$GPGGA,185946.000,3951.5334,N,07530.7812,W,1,08,1.10,179.3,M,-33.9,M,,*5B",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,19,67,339,38,22,66,166,32,06,62,245,33,17,62,055,40*77",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,41,156,28,03,33,058,19,44,27,234,25,11,24,234,23*73",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,16,286,19,12,04,318,,02,02,055,*41",,,,,,,,,,,,,,
,,,,,"$GPRMC,185946.000,A,3951.5334,N,07530.7812,W,26.81,330.91,070424,,,A*49",39.858890,-75.513020,"39.85889,-75.51302",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
,,,,,"$GPRMC,185948.000,A,3951.5477,N,07530.7916,W,26.24,330.40,070424,,,A*41",39.859128,-75.513193,"39.85912833,-75.51319333",,,,,,,,,,,
,,,,,"$GPGGA,185949.000,3951.5554,N,07530.7975,W,1,08,1.10,179.1,M,-33.9,M,,*56",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.10,0.86*01",,,,,,,,,,,,,,
